affenpinscher: 猴猎犬  
afghan_hound: 阿富汗猎犬  
african_hunting_dog: 非洲猎犬  
airedale: 艾尔代尔梗  
american_staffordshire_terrier: 美国斯塔福郡牛头梗  
appenzeller: 阿彭策尔犬  
australian_terrier: 澳大利亚梗  
basenji: 巴赛犬  
basset: 巴塞特犬  
beagle: 比格犬  
bedlington_terrier: 贝德灵顿梗  
bernese_mountain_dog: 伯恩山犬  
black-and-tan_coonhound: 黑褐猎浣熊犬  
blenheim_spaniel: 布伦海姆猎犬  
bloodhound: 血猎  
bluetick: 蓝斑猎犬  
border_collie: 边境牧羊犬  
border_terrier: 边境梗  
borzoi: 波尔索伊猎犬  
boston_bull: 波士顿斗牛犬  
bouvier_des_flandres: 佛兰德斯牧牛犬  
boxer: 拳师犬  
brabancon_griffon: 布拉班孔格里芬犬  
briard: 布里亚德犬  
brittany_spaniel: 不列颠猎犬  
bull_mastiff: 斗牛獒犬  
cairn: 凯恩梗  
cardigan: 卡迪根犬  
chesapeake_bay_retriever: 切萨皮克湾寻回犬  
chihuahua: 吉娃娃  
chow: 鬃狗  
clumber: 克伦伯猎犬  
cocker_spaniel: 可卡犬  
collie: 柯利犬  
curly-coated_retriever: 卷毛寻回犬  
dandie_dinmont: 丹迪丁蒙特梗  
dhole: 红狐犬  
dingo: 丁格犬  
doberman: 杜宾犬  
english_foxhound: 英国猎狐犬  
english_setter: 英国塞特犬  
english_springer: 英国斯宾格犬  
entlebucher: 恩特尔布赫犬  
eskimo_dog: 爱斯基摩犬  
flat-coated_retriever: 平毛寻回犬  
french_bulldog: 法国斗牛犬  
german_shepherd: 德国牧羊犬  
german_short-haired_pointer: 德国短毛指示犬  
giant_schnauzer: 巨型雪纳瑞犬  
golden_retriever: 金毛寻回犬  
gordon_setter: 戈登雪达犬  
great_dane: 大丹犬  
great_pyrenees: 大白瑞士犬  
greater_swiss_mountain_dog: 大瑞士山犬  
groenendael: 格鲁克兰犬  
ibizan_hound: 伊比利亚犬  
irish_setter: 爱尔兰塞特犬  
irish_terrier: 爱尔兰梗  
irish_water_spaniel: 爱尔兰水猎犬  
irish_wolfhound: 爱尔兰猎狼犬  
italian_greyhound: 意大利灰狗  
japanese_spaniel: 日本狆犬  
keeshond: 凯斯犬  
kelpie: 凯尔比犬  
kerry_blue_terrier: 凯利蓝梗  
komondor: 科蒙多犬  
kuvasz: 库瓦兹犬  
labrador_retriever: 拉布拉多寻回犬  
lakeland_terrier: 莱克兰梗  
leonberg: 伦贝格犬  
lhasa: 拉萨犬  
malamute: 阿拉斯加雪橇犬  
malinois: 马里努犬  
maltese_dog: 马耳他犬  
mexican_hairless: 墨西哥无毛犬  
miniature_pinscher: 迷你品犬  
miniature_poodle: 迷你贵宾犬  
miniature_schnauzer: 迷你雪纳瑞犬  
newfoundland: 纽芬兰犬  
norfolk_terrier: 诺福克梗  
norwegian_elkhound: 挪威猎鹿犬  
norwich_terrier: 诺里奇梗  
old_english_sheepdog: 英国古代牧羊犬  
otterhound: 獾猎犬  
papillon: 蝴蝶犬  
pekinese: 北京犬  
pembroke: 彭布罗克威尔士柯基犬  
pomeranian: 博美犬  
pug: 巴哥犬  
redbone: 红骨猎浣熊犬  
rhodesian_ridgeback: 罗得西亚脊背犬  
rottweiler: 罗威犬  
saint_bernard: 圣伯纳犬  
saluki: 萨路基犬  
samoyed: 萨摩耶犬  
schipperke: 船长犬  
scotch_terrier: 苏格兰梗  
scottish_deerhound: 苏格兰猎鹿犬  
sealyham_terrier: 锡利汉梗  
shetland_sheepdog: 喜特朗牧羊犬  
shih-tzu: 西施犬  
siberian_husky: 西伯利亚哈士奇  
silky_terrier: 丝毛梗  
soft-coated_wheaten_terrier: 软毛小麦梗  
staffordshire_bullterrier: 斯塔福德郡斗牛犬  
standard_poodle: 标准贵宾犬  
standard_schnauzer: 标准雪纳瑞犬  
sussex_spaniel: 苏塞克斯猎犬  
tibetan_mastiff: 藏獒  
tibetan_terrier: 藏猎犬
toy_poodle: 玩具贵宾犬  
toy_terrier: 玩具梗  
vizsla: 维兹拉犬  
walker_hound: 沃克猎犬  
weimaraner: 威玛犬  
welsh_springer_spaniel: 威尔士斯宾格犬  
west_highland_white_terrier: 西高地白梗  
whippet: 惠比特犬  
wire-haired_fox_terrier: 丝毛猎狐梗  
yorkshire_terrier: 约克夏梗  
